category,nominee,movie
"Best Picture","Anora",
"Best Picture","The Brutalist",
"Best Picture","A Complete Unknown",
"Best Picture","Conclave",
"Best Picture","Dune: Part Two",
"Best Picture","Emilia Pérez",
"Best Picture","I'm Still Here",
"Best Picture","Nickel Boys",
"Best Picture","The Substance",
"Best Picture","Wicked",
"Actor in a Leading Role","Adrien Brody","The Brutalist"
"Actor in a Leading Role","Timothée Chalamet","A Complete Unknown"
"Actor in a Leading Role","Colman Domingo","Sing Sing"
"Actor in a Leading Role","Ralph Fiennes","Conclave"
"Actor in a Leading Role","Sebastian Stan","The Apprentice"
"Actress in a Leading Role","Cynthia Erivo","Wicked"
"Actress in a Leading Role","Karla Sofía Gascón","Emilia Pérez"
"Actress in a Leading Role","Mikey Madison","Anora"
"Actress in a Leading Role","Demi Moore","The Substance"
"Actress in a Leading Role","Fernanda Torres","I'm Still Here"
"Actor in a Supporting Role","Yura Borisov","Anora"
"Actor in a Supporting Role","Kieran Culkin","A Real Pain"
"Actor in a Supporting Role","Edward Norton","A Complete Unknown"
"Actor in a Supporting Role","Guy Pearce","The Brutalist"
"Actor in a Supporting Role","Jeremy Strong","The Apprentice"
"Actress in a Supporting Role","Monica Barbaro","A Complete Unknown"
"Actress in a Supporting Role","Ariana Grande","Wicked"
"Actress in a Supporting Role","Felicity Jones","The Brutalist"
"Actress in a Supporting Role","Isabella Rossellini","Conclave"
"Actress in a Supporting Role","Zoe Saldaña","Emilia Pérez"
"Animated Feature Film",undefined,undefined
"Animated Feature Film",undefined,undefined
"Animated Feature Film",undefined,undefined
"Animated Feature Film",undefined,undefined
"Animated Feature Film",undefined,undefined
"Documentary Feature Film",undefined,undefined
"Documentary Feature Film",undefined,undefined
"Documentary Feature Film",undefined,undefined
"Documentary Feature Film",undefined,undefined
"Documentary Feature Film",undefined,undefined
"International Feature Film",undefined,undefined
"International Feature Film",undefined,undefined
"International Feature Film",undefined,undefined
"International Feature Film",undefined,undefined
"International Feature Film",undefined,undefined
"Directing","Sean Baker","Anora"
"Directing","Brady Corbet","The Brutalist"
"Directing","James Mangold","A Complete Unknown"
"Directing","Jacques Audiard","Emilia Pérez"
"Directing","Coralie Fargeat","The Substance"
"Cinematography","Lol Crawley","The Brutalist"
"Cinematography","Greig Fraser","Dune: Part Two"
"Cinematography","Paul Guilhaume","Emilia Pérez"
"Cinematography","Ed Lachman","Maria"
"Cinematography","Jarin Blaschke","Nosferatu"
"Costume Design","Paul Tazewell","Wicked"
"Costume Design","Arianne Phillips","A Complete Unknown"
"Costume Design","Lisy Christl","Conclave"
"Costume Design","Janty Yates and Dave Crossman","Gladiator II"
"Costume Design","Linda Muir","Nosferatu"
"Film Editing","Sean Baker","Anora"
"Film Editing","David Jancsó","The Brutalist"
"Film Editing","Nick Emerson","Conclave"
"Film Editing","Juliette Welfling","Emilia Pérez"